T,Y,Z
+0.345703,-0.248796,+0.024504
+0.347656,-0.245196,+0.048773
+0.349609,-0.239235,+0.072571
+0.351562,-0.230970,+0.095671
+0.353516,-0.220480,+0.117849
+0.355469,-0.207867,+0.138893
+0.357422,-0.193253,+0.158598
+0.359375,-0.176777,+0.176777
+0.361328,-0.158598,+0.193253
+0.363281,-0.138893,+0.207867
+0.365234,-0.117849,+0.220480
+0.367188,-0.095671,+0.230970
+0.369141,-0.072571,+0.239235
+0.371094,-0.048773,+0.245196
+0.373047,-0.024504,+0.248796
+0.375000,-0.000000,+0.250000
+0.376953,+0.024504,+0.248796
+0.378906,+0.048773,+0.245196
+0.380859,+0.072571,+0.239235
+0.382812,+0.095671,+0.230970
+0.384766,+0.117849,+0.220480
+0.386719,+0.138893,+0.207867
+0.388672,+0.158598,+0.193253
+0.390625,+0.176777,+0.176777
+0.392578,+0.193253,+0.158598
+0.394531,+0.207867,+0.138893
+0.396484,+0.220480,+0.117849
+0.398438,+0.230970,+0.095671
+0.400391,+0.239235,+0.072571
+0.402344,+0.245196,+0.048773
+0.404297,+0.248796,+0.024504
+0.406250,+0.250000,-0.000000
+0.408203,+0.248796,-0.024504
+0.410156,+0.245196,-0.048773
+0.412109,+0.239235,-0.072571
+0.414062,+0.230970,-0.095671
+0.416016,+0.220480,-0.117849
+0.417969,+0.207867,-0.138893
+0.419922,+0.193253,-0.158598
+0.421875,+0.176777,-0.176777
+0.423828,+0.158598,-0.193253
+0.425781,+0.138893,-0.207867
+0.427734,+0.117849,-0.220480
+0.429688,+0.095671,-0.230970
+0.431641,+0.072571,-0.239235
+0.433594,+0.048773,-0.245196
+0.435547,+0.024504,-0.248796
+0.437500,+0.000000,-0.250000
+0.439453,-0.024504,-0.248796
+0.441406,-0.048773,-0.245196
+0.443359,-0.072571,-0.239235
+0.445312,-0.095671,-0.230970
+0.447266,-0.117849,-0.220480
+0.449219,-0.138893,-0.207867
+0.451172,-0.158598,-0.193253
+0.453125,-0.176777,-0.176777
+0.455078,-0.193253,-0.158598
+0.457031,-0.207867,-0.138893
+0.458984,-0.220480,-0.117849
+0.460938,-0.230970,-0.095671
+0.462891,-0.239235,-0.072571
+0.464844,-0.245196,-0.048773
+0.466797,-0.248796,-0.024504
+0.468750,-0.250000,-0.000000
+0.470703,-0.248796,+0.024504
+0.472656,-0.245196,+0.048773
+0.474609,-0.239235,+0.072571
+0.476562,-0.230970,+0.095671
+0.478516,-0.220480,+0.117849
+0.480469,-0.207867,+0.138893
+0.482422,-0.193253,+0.158598
+0.484375,-0.176777,+0.176777
+0.486328,-0.158598,+0.193253
+0.488281,-0.138893,+0.207867
+0.490234,-0.117849,+0.220480
+0.492188,-0.095671,+0.230970
+0.494141,-0.072571,+0.239235
+0.496094,-0.048773,+0.245196
+0.498047,-0.024504,+0.248796
+0.500000,-0.000000,+0.250000
+0.501953,+0.024504,+0.248796
+0.503906,+0.048773,+0.245196
+0.505859,+0.072571,+0.239235
+0.507812,+0.095671,+0.230970
+0.509766,+0.117849,+0.220480
+0.511719,+0.138893,+0.207867
+0.513672,+0.158598,+0.193253
+0.515625,+0.176777,+0.176777
+0.517578,+0.193253,+0.158598
+0.519531,+0.207867,+0.138893
+0.521484,+0.220480,+0.117849
+0.523438,+0.230970,+0.095671
+0.525391,+0.239235,+0.072571
+0.527344,+0.245196,+0.048773
+0.529297,+0.248796,+0.024504
+0.531250,+0.250000,-0.000000
+0.533203,+0.248796,-0.024504
+0.535156,+0.245196,-0.048773
+0.537109,+0.239235,-0.072571
+0.539062,+0.230970,-0.095671
+0.541016,+0.220480,-0.117849
+0.542969,+0.207867,-0.138893
+0.544922,+0.193253,-0.158598
+0.546875,+0.176777,-0.176777
+0.548828,+0.158598,-0.193253
+0.550781,+0.138893,-0.207867
+0.552734,+0.117849,-0.220480
+0.554688,+0.095671,-0.230970
+0.556641,+0.072571,-0.239235
+0.558594,+0.048773,-0.245196
+0.560547,+0.024504,-0.248796
+0.562500,+0.000000,-0.250000
+0.564453,-0.024504,-0.248796
+0.566406,-0.048773,-0.245196
+0.568359,-0.072571,-0.239235
+0.570312,-0.095671,-0.230970
+0.572266,-0.117849,-0.220480
+0.574219,-0.138893,-0.207867
+0.576172,-0.158598,-0.193253
+0.578125,-0.176777,-0.176777
+0.580078,-0.193253,-0.158598
+0.582031,-0.207867,-0.138893
+0.583984,-0.220480,-0.117849
+0.585938,-0.230970,-0.095671
